Index;IsLCOE;Variable;Legend;Authors;Paper;Approach;Region;Figure;Unit;Original_Scenario;Scenario;0;10;20;25;30;35;40;50;60;70;80;90;100;110;120;130;140;150
1;1;SLCOE;Scholz et al. 2017 20%PV/80%Wind Mix Europe;Scholz et al.;Application of a high-detail energy system model to derive power sector characteristics at high wind and solar shares;Greenfield, cost minimizing;europe;figure 12;SLCOE (€_2009/MWh);LCP_Solar20Wind80;Low;82;;79;;;;78.5;;80;;83;;89;;98;;108;
2;1;SLCOE;Scholz et al. 2017 20%PV/80%Wind Mix Europe;Scholz et al.;Application of a high-detail energy system model to derive power sector characteristics at high wind and solar shares;Greenfield, cost minimizing;europe;figure 12;SLCOE (€_2009/MWh);MCP_Solar20Wind80;Mid;92;;89;;;;86;;85;;86;;91;;99;;109;
3;1;SLCOE;Scholz et al. 2017 20%PV/80%Wind Mix Europe;Scholz et al.;Application of a high-detail energy system model to derive power sector characteristics at high wind and solar shares;Greenfield, cost minimizing;europe;figure 12;SLCOE (€_2009/MWh);HCP_Solar80Wind20;High;105;;98;;;;95;;95.3;;99;;105;;112;;122;
4;1;SLCOE;Rodriguez et al. 2015 10%PV/90%Wind Mix Europe;Rodriguez et al.;Cost-optimal design of a simplified, highly renewable pan-European electricity system;Greenfield, cost minimizing;Europe;figure 4;SLCOE (€/MWh);Synchronised;Low;64;64;64;;64;;64;64;65;66;67.5;69;71;;78;;90;
5;1;SLCOE;Rodriguez et al. 2015 10%PV/90%Wind Mix Europe;Rodriguez et al.;Cost-optimal design of a simplified, highly renewable pan-European electricity system;Greenfield, cost minimizing;Europe;figure 4;SLCOE (€/MWh);Zero Transmission;High;64;;64;;64;;64;66;;;71;;78;;83;;93;
6;1;SLCOE;Reichenberg et al. 2018 Varying PV/Wind Europe;Reichenberg et al.;The marginal system LCOE of variable renewables – Evaluating high penetration levels of wind and solar in Europe;Greenfield, cost minimizing;Europe;Figure 4;SLCOE;Baseline;Mid;40;;40.96385542;;;;43.37349398;;48.19277108;;55.42168675;;80;;88;;;
7;1;SLCOE;Reichenberg et al. 2018 Varying PV/Wind Europe;Reichenberg et al.;The marginal system LCOE of variable renewables – Evaluating high penetration levels of wind and solar in Europe;Greenfield, cost minimizing;Europe;Figure 5;SLCOE;Lowcost;Low;40;;39;;;;40;;41.5;;43;;50;;50;;;
8;1;SLCOE;Reichenberg et al. 2018 Varying PV/Wind Europe;Reichenberg et al.;The marginal system LCOE of variable renewables – Evaluating high penetration levels of wind and solar in Europe;Greenfield, cost minimizing;Europe;Figure 5;SLCOE;Highcost;High;40;;41;;;;47;;57;;68;;95;;95;;;
9;1;Curtailment;Scholz et al. 2017 20%PV/80%Wind Mix Europe;Scholz et al.;Application of a high-detail energy system model to derive power sector characteristics at high wind and solar shares;Greenfield, cost minimizing;europe;figure 12;SLCOE (€_2009/MWh);LCP_Solar20Wind80;Low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;Curtailment;Scholz et al. 2017 20%PV/80%Wind Mix Europe;Scholz et al.;Application of a high-detail energy system model to derive power sector characteristics at high wind and solar shares;Greenfield, cost minimizing;europe;figure 12;SLCOE (€_2009/MWh);MCP_Solar20Wind80;Mid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;1;Curtailment;Scholz et al. 2017 20%PV/80%Wind Mix Europe;Scholz et al.;Application of a high-detail energy system model to derive power sector characteristics at high wind and solar shares;Greenfield, cost minimizing;europe;figure 12;SLCOE (€_2009/MWh);HCP_Solar80Wind20;High;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;Curtailment;Rodriguez et al. 2015 10%PV/90%Wind Mix Europe;Rodriguez et al.;Cost-optimal design of a simplified, highly renewable pan-European electricity system;Greenfield, cost minimizing;Europe;figure 4;SLCOE (€/MWh);Synchronised;Low;0;0;0;0;0;0;0;0;3.2;6.4;9.6;12.8;16;22.8;29.6;36.4;43.2;50
13;1;Curtailment;Rodriguez et al. 2015 10%PV/90%Wind Mix Europe;Rodriguez et al.;Cost-optimal design of a simplified, highly renewable pan-European electricity system;Greenfield, cost minimizing;Europe;figure 4;SLCOE (€/MWh);Zero Transmission;High;0;0;0;0;0;0;0;0;4;8;12;16;20;27.4;34.8;42.2;49.6;57
14;1;Curtailment;Reichenberg et al. 2018 Varying PV/Wind Europe;Reichenberg et al.;The marginal system LCOE of variable renewables – Evaluating high penetration levels of wind and solar in Europe;Greenfield, cost minimizing;Europe;Figure 5;SLCOE;Lowcost;Low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;Curtailment;Reichenberg et al. 2018 Varying PV/Wind Europe;Reichenberg et al.;The marginal system LCOE of variable renewables – Evaluating high penetration levels of wind and solar in Europe;Greenfield, cost minimizing;Europe;Figure 4;SLCOE;Baseline;Mid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;1;Curtailment;Reichenberg et al. 2018 Varying PV/Wind Europe;Reichenberg et al.;The marginal system LCOE of variable renewables – Evaluating high penetration levels of wind and solar in Europe;Greenfield, cost minimizing;Europe;Figure 5;SLCOE;Highcost;High;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
